record_id,category,entity_id,name_en,claim,value,evidence_grade,verify,notes
DIS-D1-PAR-annual_probability_prior,disruption,D1,Seasonal summer drought,calibrated: annual_probability_prior,0.211,B,False,derived from ERA5 reanalysis 1991-2024
DIS-D1-PAR-severity_distribution,disruption,D1,Seasonal summer drought,model prior: severity_distribution,beta,C,True,"prior for calibration, not a measurement"
DIS-D1-PAR-severity_params,disruption,D1,Seasonal summer drought,calibrated: severity_params,"[0.43, 1.25]",B,False,derived from ERA5 reanalysis 1991-2024
DIS-D1-PAR-spatial_correlation,disruption,D1,Seasonal summer drought,calibrated: spatial_correlation,0.446,B,False,derived from ERA5 reanalysis 1991-2024
DIS-D1-PAR-probability_by_county,disruption,D1,Seasonal summer drought,calibrated: probability_by_county,"{'C1': 0.235, 'C2': 0.206, 'C3': 0.265, 'C4': 0.147, 'C5': 0.235, 'C6': 0.176}",B,False,derived from ERA5 reanalysis 1991-2024
DIS-D1-PAR-n_events_observed,disruption,D1,Seasonal summer drought,calibrated: n_events_observed,43,B,False,derived from ERA5 reanalysis 1991-2024
DIS-D1-PAR-hazard_definition,disruption,D1,Seasonal summer drought,calibrated: hazard_definition,SPI <= -0.8,B,False,derived from ERA5 reanalysis 1991-2024
DIS-D1-PAR-yield_damage_max,disruption,D1,Seasonal summer drought,model prior: yield_damage_max,0.45,C,True,"prior for calibration, not a measurement"
DIS-D1-PAR-terrain_multiplier,disruption,D1,Seasonal summer drought,model prior: terrain_multiplier,"{'plain': 0.6, 'hill': 1.0, 'mountain': 1.15}",C,True,"prior for calibration, not a measurement"
DIS-D1-PAR-irrigation_offset,disruption,D1,Seasonal summer drought,model prior: irrigation_offset,0.45,C,True,"prior for calibration, not a measurement"
DIS-D2-PAR-annual_probability_prior,disruption,D2,"Rainstorm, flood and waterlogging",calibrated: annual_probability_prior,0.373,B,False,derived from ERA5 reanalysis 1991-2024
DIS-D2-PAR-severity_distribution,disruption,D2,"Rainstorm, flood and waterlogging",model prior: severity_distribution,beta,C,True,"prior for calibration, not a measurement"
