record_id,category,entity_id,name_en,name_zh,claim,claim_type,value,unit,evidence_grade,source,url,year,verify,notes,tags
DIS-D1-SCOPE,disruption,D1,Seasonal summer drought,伏旱,"The classic recurrent climatic feature of the Sichuan Basin and the shock with the clearest technological counter-measure: smart irrigation and fertigation act directly on the loss mechanism (soil-moisture deficit), so the technology efficacy parameter is identifiable.",mechanism,,,B,curated:config,,,False,tier=tier1,scope_decision|tier1|T2|T1
DIS-D1-CHANNEL,disruption,D1,Seasonal summer drought,伏旱,soil moisture deficit during reproductive stage,mechanism,,,B,curated:config,,,False,,loss_channel
DIS-D1-PAR-annual_probability_prior,disruption,D1,Seasonal summer drought,,calibrated: annual_probability_prior,parameter,0.211,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D1-PAR-severity_distribution,disruption,D1,Seasonal summer drought,,model prior: severity_distribution,parameter,beta,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D1-PAR-severity_params,disruption,D1,Seasonal summer drought,,calibrated: severity_params,parameter,"[0.43, 1.25]",,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D1-PAR-spatial_correlation,disruption,D1,Seasonal summer drought,,calibrated: spatial_correlation,parameter,0.446,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D1-PAR-probability_by_county,disruption,D1,Seasonal summer drought,,calibrated: probability_by_county,parameter,"{'C1': 0.235, 'C2': 0.206, 'C3': 0.265, 'C4': 0.147, 'C5': 0.235, 'C6': 0.176}",,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D1-PAR-n_events_observed,disruption,D1,Seasonal summer drought,,calibrated: n_events_observed,parameter,43,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D1-PAR-hazard_definition,disruption,D1,Seasonal summer drought,,calibrated: hazard_definition,parameter,SPI <= -0.8,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D1-PAR-yield_damage_max,disruption,D1,Seasonal summer drought,,model prior: yield_damage_max,parameter,0.45,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D1-PAR-terrain_multiplier,disruption,D1,Seasonal summer drought,,model prior: terrain_multiplier,parameter,"{'plain': 0.6, 'hill': 1.0, 'mountain': 1.15}",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D1-PAR-irrigation_offset,disruption,D1,Seasonal summer drought,,model prior: irrigation_offset,parameter,0.45,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D1-DATA-13407,disruption,D1,Seasonal summer drought,,"CMA station precipitation and temperature, daily, 2000-2025",context,,,C,curated:config,,,False,,data_requirement
DIS-D1-DATA-694229,disruption,D1,Seasonal summer drought,,"drought index (CI, MCI) gridded series",context,,,C,curated:config,,,False,,data_requirement
DIS-D1-DATA-403688,disruption,D1,Seasonal summer drought,,irrigated area by county (Sichuan Statistical Yearbook),context,,,C,curated:config,,,False,,data_requirement
DIS-D1-DATA-898696,disruption,D1,Seasonal summer drought,,insurance drought claim records by county and year,context,,,C,curated:config,,,False,,data_requirement
DIS-D2-SCOPE,disruption,D2,"Rainstorm, flood and waterlogging",暴雨洪涝,"Fast onset means the binding constraint is the LEAD TIME of warning and the QUEUE for machinery in the operating window, not equipment ownership. This is precisely the mechanism the service-capacity SD module and the contract effort variable are built to represent, so D2 is what makes voucher-versus-subsidy policies separate.",mechanism,,,B,curated:config,,,False,tier=tier1,scope_decision|tier1|T1|T3
DIS-D2-CHANNEL,disruption,D2,"Rainstorm, flood and waterlogging",暴雨洪涝,"lodging, submergence, harvest delay, inability to enter waterlogged plots with machinery",mechanism,,,B,curated:config,,,False,,loss_channel
DIS-D2-PAR-annual_probability_prior,disruption,D2,"Rainstorm, flood and waterlogging",,calibrated: annual_probability_prior,parameter,0.373,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D2-PAR-severity_distribution,disruption,D2,"Rainstorm, flood and waterlogging",,model prior: severity_distribution,parameter,beta,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D2-PAR-severity_params,disruption,D2,"Rainstorm, flood and waterlogging",,calibrated: severity_params,parameter,"[0.19, 0.35]",,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D2-PAR-spatial_correlation,disruption,D2,"Rainstorm, flood and waterlogging",,calibrated: spatial_correlation,parameter,0.19,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D2-PAR-probability_by_county,disruption,D2,"Rainstorm, flood and waterlogging",,calibrated: probability_by_county,parameter,"{'C1': 0.647, 'C2': 0.529, 'C3': 0.206, 'C4': 0.294, 'C5': 0.5, 'C6': 0.059}",,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D2-PAR-n_events_observed,disruption,D2,"Rainstorm, flood and waterlogging",,calibrated: n_events_observed,parameter,76,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D2-PAR-hazard_definition,disruption,D2,"Rainstorm, flood and waterlogging",,calibrated: hazard_definition,parameter,>= 2 rainstorm days,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D2-PAR-yield_damage_max,disruption,D2,"Rainstorm, flood and waterlogging",,model prior: yield_damage_max,parameter,0.55,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D2-PAR-terrain_multiplier,disruption,D2,"Rainstorm, flood and waterlogging",,model prior: terrain_multiplier,parameter,"{'plain': 1.0, 'hill': 1.1, 'mountain': 1.25}",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
