rank,parameter,symbol,influence,title,year,source,url,relevance,cited_by,query
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,Understanding the mechanisms of access and management of agricultural machinery in Benin,2022.0,openalex,https://www.sciencedirect.com/science/article/pii/S2468227622000308/pdf,6,9,custom hiring agricultural machinery utilisation developing country
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,Determinants and economic impact of agricultural machinery custom hiring services on smallholder farm mechanization in Ethiopia,2026.0,crossref,https://doi.org/10.21203/rs.3.rs-8999956/v1,5,0,custom hiring agricultural machinery utilisation developing country
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,Smart farming for improving agricultural management,2021.0,openalex,https://www.sciencedirect.com/science/article/pii/S1110982321000582/pdf,4,448,agricultural machinery service scheduling queueing China
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,Internet of Things and Wireless Sensor Networks for Smart Agriculture Applications: A Survey,2023.0,openalex,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10371307.pdf,4,280,agricultural machinery service scheduling queueing China
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,Precision Agriculture Design Method Using a Distributed Computing Architecture on Internet of Things Context,2018.0,openalex,https://www.mdpi.com/1424-8220/18/6/1731/pdf?version=1527488897,4,208,agricultural machinery service scheduling queueing China
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,From Satellite to UAV-Based Remote Sensing: A Review on Precision Agriculture,2023.0,openalex,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10310142.pdf,4,170,custom hiring agricultural machinery utilisation developing country
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,Agricultural machinery automatic navigation technology,2023.0,openalex,https://doi.org/10.1016/j.isci.2023.108714,4,75,harvest timeliness loss machinery capacity constraint
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,Fault Analysis System for Agricultural Machinery Based on Big Data,2019.0,openalex,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08777160.pdf,4,32,agricultural machinery service scheduling queueing China
1,Service capacity coverage and queueing,"C(0), W(rho)",164.5%,"Custom Hiring Centre and Region-Specific Demand of Agriculture Machinery in Indore District, India",2025.0,crossref,https://doi.org/10.9734/jeai/2025/v47i123919,4,0,custom hiring agricultural machinery utilisation developing country
2,Choice model scale and attribute weights,tau,122.7%,"Agricultural technology adoption, commercialization and smallholder rice farmers’ welfare in rural Nigeria",2016.0,openalex,https://agrifoodecon.springeropen.com/track/pdf/10.1186/s40100-016-0047-8,5,242,discrete choice experiment agricultural technology adoption China farmers
2,Choice model scale and attribute weights,tau,122.7%,Adoption of climate‐smart agriculture among smallholder farmers: Does farmer entrepreneurship matter?,2021.0,openalex,https://www.sciencedirect.com/science/article/pii/S0264837721003896/pdf,5,177,choice experiment willingness to pay irrigation service farmers China
2,Choice model scale and attribute weights,tau,122.7%,Adoption of improved agricultural technology and its impact on household income: a propensity score matching estimation in eastern Ethiopia,2021.0,openalex,https://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-020-00278-2,5,174,mixed logit farmer technology adoption scale heterogeneity
2,Choice model scale and attribute weights,tau,122.7%,Social network and extension service in farmers’ agricultural technology adoption efficiency,2020.0,openalex,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0235927&type=printable,5,102,choice experiment willingness to pay irrigation service farmers China
2,Choice model scale and attribute weights,tau,122.7%,Willingness to pay for agricultural mechanization services by smallholder farmers in Malawi,2023.0,openalex,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/agr.21841,5,28,choice experiment willingness to pay irrigation service farmers China
2,Choice model scale and attribute weights,tau,122.7%,Preferences and Willingness of Farmers to Participate and Pay for Crop Insurance: Evidence from a Choice Experiment,2025.0,crossref,https://doi.org/10.20944/preprints202509.1751.v1,5,0,choice experiment willingness to pay irrigation service farmers China
2,Choice model scale and attribute weights,tau,122.7%,Preferences and willingness to pay for irrigation system improvements among smallholder farmers in Ethiopia: A discrete choice experiment approach,2026.0,crossref,https://doi.org/10.1016/j.agwat.2026.110522,5,0,choice experiment willingness to pay irrigation service farmers China
