priority,record_id,category,entity_id,name_en,claim,evidence_grade,notes
1,DIS-D1-PAR-severity_distribution,disruption,D1,Seasonal summer drought,model prior: severity_distribution,C,"prior for calibration, not a measurement"
1,DIS-D1-PAR-yield_damage_max,disruption,D1,Seasonal summer drought,model prior: yield_damage_max,C,"prior for calibration, not a measurement"
1,DIS-D1-PAR-terrain_multiplier,disruption,D1,Seasonal summer drought,model prior: terrain_multiplier,C,"prior for calibration, not a measurement"
1,DIS-D1-PAR-irrigation_offset,disruption,D1,Seasonal summer drought,model prior: irrigation_offset,C,"prior for calibration, not a measurement"
1,DIS-D2-PAR-severity_distribution,disruption,D2,"Rainstorm, flood and waterlogging",model prior: severity_distribution,C,"prior for calibration, not a measurement"
1,DIS-D2-PAR-yield_damage_max,disruption,D2,"Rainstorm, flood and waterlogging",model prior: yield_damage_max,C,"prior for calibration, not a measurement"
1,DIS-D2-PAR-terrain_multiplier,disruption,D2,"Rainstorm, flood and waterlogging",model prior: terrain_multiplier,C,"prior for calibration, not a measurement"
1,DIS-D2-PAR-warning_lead_time_days,disruption,D2,"Rainstorm, flood and waterlogging",model prior: warning_lead_time_days,C,"prior for calibration, not a measurement"
1,DIS-D2-PAR-action_window_days,disruption,D2,"Rainstorm, flood and waterlogging",model prior: action_window_days,C,"prior for calibration, not a measurement"
1,DIS-D3-PAR-severity_distribution,disruption,D3,Compound heat-drought with power and network interruption,model prior: severity_distribution,C,"prior for calibration, not a measurement"
1,DIS-D3-PAR-yield_damage_max,disruption,D3,Compound heat-drought with power and network interruption,model prior: yield_damage_max,C,"prior for calibration, not a measurement"
1,DIS-D3-PAR-terrain_multiplier,disruption,D3,Compound heat-drought with power and network interruption,model prior: terrain_multiplier,C,"prior for calibration, not a measurement"
1,DIS-D3-PAR-tech_availability_multiplier,disruption,D3,Compound heat-drought with power and network interruption,model prior: tech_availability_multiplier,C,"prior for calibration, not a measurement"
1,DIS-D3-PAR-outage_duration_days,disruption,D3,Compound heat-drought with power and network interruption,model prior: outage_duration_days,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-eta_drought,technology,T1,Digital early warning and agro-situation information,model prior: eta_drought,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-eta_flood,technology,T1,Digital early warning and agro-situation information,model prior: eta_flood,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-eta_compound,technology,T1,Digital early warning and agro-situation information,model prior: eta_compound,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-capex_per_farm,technology,T1,Digital early warning and agro-situation information,model prior: capex_per_farm,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-opex_per_mu,technology,T1,Digital early warning and agro-situation information,model prior: opex_per_mu,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-learning_cost,technology,T1,Digital early warning and agro-situation information,model prior: learning_cost,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-digital_literacy_threshold,technology,T1,Digital early warning and agro-situation information,model prior: digital_literacy_threshold,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-availability_base,technology,T1,Digital early warning and agro-situation information,model prior: availability_base,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-false_alarm_rate,technology,T1,Digital early warning and agro-situation information,model prior: false_alarm_rate,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-lead_time_days,technology,T1,Digital early warning and agro-situation information,model prior: lead_time_days,C,"prior for calibration, not a measurement"
1,TEC-T1-PAR-terrain_fit,technology,T1,Digital early warning and agro-situation information,model prior: terrain_fit,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-eta_drought,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: eta_drought,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-eta_flood,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: eta_flood,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-eta_compound,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: eta_compound,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-capex_per_mu,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: capex_per_mu,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-opex_per_mu,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: opex_per_mu,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-lifetime_years,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: lifetime_years,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-learning_cost,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: learning_cost,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-digital_literacy_threshold,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: digital_literacy_threshold,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-availability_base,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: availability_base,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-failure_rate_annual,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: failure_rate_annual,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-repair_delay_days_prior,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: repair_delay_days_prior,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-requires_water_source,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: requires_water_source,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-power_dependent,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: power_dependent,C,"prior for calibration, not a measurement"
1,TEC-T2-PAR-terrain_fit,technology,T2,"Smart irrigation, fertigation and field sensing",model prior: terrain_fit,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-eta_drought,technology,T3,Drone and BeiDou smart machinery operating services,model prior: eta_drought,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-eta_flood,technology,T3,Drone and BeiDou smart machinery operating services,model prior: eta_flood,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-eta_compound,technology,T3,Drone and BeiDou smart machinery operating services,model prior: eta_compound,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-capex_own_per_unit,technology,T3,Drone and BeiDou smart machinery operating services,model prior: capex_own_per_unit,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-service_price_per_mu,technology,T3,Drone and BeiDou smart machinery operating services,model prior: service_price_per_mu,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-opex_per_mu,technology,T3,Drone and BeiDou smart machinery operating services,model prior: opex_per_mu,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-learning_cost,technology,T3,Drone and BeiDou smart machinery operating services,model prior: learning_cost,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-learning_cost_own,technology,T3,Drone and BeiDou smart machinery operating services,model prior: learning_cost_own,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-digital_literacy_threshold,technology,T3,Drone and BeiDou smart machinery operating services,model prior: digital_literacy_threshold,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-availability_base,technology,T3,Drone and BeiDou smart machinery operating services,model prior: availability_base,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-capacity_mu_per_unit_per_day,technology,T3,Drone and BeiDou smart machinery operating services,model prior: capacity_mu_per_unit_per_day,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-failure_rate_annual,technology,T3,Drone and BeiDou smart machinery operating services,model prior: failure_rate_annual,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-terrain_fit,technology,T3,Drone and BeiDou smart machinery operating services,model prior: terrain_fit,C,"prior for calibration, not a measurement"
1,TEC-T3-PAR-congestion_sensitive,technology,T3,Drone and BeiDou smart machinery operating services,model prior: congestion_sensitive,C,"prior for calibration, not a measurement"
2,POL-SP1-targets_by_2028-smart_farms,policy,SP1,Sichuan Smart Agriculture Action Plan (2025-2028),targets_by_2028: smart_farms,B,"policy commitment, NOT realised adoption"
